category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260505_035003/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_035003/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_035254/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
30,260505_035254/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_035254/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_035525/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
30,260505_035525/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_035525/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_035752/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
30,260505_035752/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_035752/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_040036/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
30,260505_040036/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_040036/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_040331/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
30,260505_040331/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_040331/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_040654/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
30,260505_040654/30/forecast_Wh_metrics_30d.json,[0.4455927298146746],[8.003223347422555],[0.6232901408884841],[0.5993045610941631],[-0.28374441234913816],[0.5250432843385462],[8.207591100859517],"[""2026-01-29T00:00:00""]",[4.72749],[0.08160011284561802],[0.10292364312174251]
60,260505_040654/60/forecast_Wh_metrics_60d.json,[0.5799758010485024],[10.426724997798422],[0.7891002325136499],[0.7767515711552017],[-0.9899679447547047],[0.6451442884323039],[11.105089858377767],"[""2025-12-30T00:00:00""]",[4.57906],[0.108974998097274],[0.13451201788159806]
120,260505_041016/120/forecast_Wh_metrics_120d.json,[0.6372726088108781],[11.14430468443146],[0.7809584240283545],[0.5916481544227],[-0.4258733617779631],[0.642280107094789],[11.740046437698192],"[""2025-10-31T00:00:00""]",[6.54126],[0.11657418662748587],[0.14310233422615018]
